"index","IATA_code"
"1","IAD"
"2","IND"
"3","ISP"
"4","JAN"
"5","JAX"
"6","LAS"
"7","LAX"
"8","LBB"
"9","LIT"
"10","MAF"
"11","MCI"
"12","MCO"
"13","MDW"
"14","MHT"
"15","MSY"
"16","OAK"
"17","OKC"
"18","OMA"
"19","ONT"
"20","ORF"
"21","PBI"
"22","PDX"
"23","PHL"
"24","PHX"
"25","PIT"
"26","PVD"
"27","RDU"
"28","RNO"
"29","RSW"
"30","SAN"
"31","SAT"
"32","SDF"
"33","SEA"
"34","SFO"
"35","SJC"
"36","SLC"
"37","SMF"
"38","SNA"
"39","STL"
"40","TPA"
"41","TUL"
"42","TUS"
"43","ABQ"
"44","ALB"
"45","AMA"
"46","AUS"
"47","BDL"
"48","BHM"
"49","BNA"
"50","BOI"
"51","BUF"
"52","BUR"
"53","BWI"
"54","CLE"
"55","CMH"
"56","CRP"
"57","DAL"
"58","DEN"
"59","DTW"
"60","ELP"
"61","FLL"
"62","GEG"
"63","HOU"
"64","HRL"
"65","ROC"
"66","DAY"
"67","ORD"
"68","EWR"
"69","SYR"
"70","IAH"
"71","LFT"
"72","MKE"
"73","CHS"
"74","LCH"
"75","CLT"
"76","BTR"
"77","CRW"
"78","FAT"
"79","COS"
"80","MRY"
"81","LGB"
"82","BFL"
"83","EUG"
"84","ICT"
"85","MEM"
"86","LGA"
"87","DCA"
"88","BTV"
"89","GRK"
"90","BRO"
"91","TYS"
"92","DSM"
"93","BPT"
"94","GPT"
"95","GRR"
"96","PWM"
"97","MSP"
"98","RIC"
"99","CVG"
"100","SAV"
"101","SRQ"
"102","GSO"
"103","CHA"
"104","XNA"
"105","GSP"
"106","LEX"
"107","MFE"
"108","ABE"
"109","MLU"
"110","MOB"
"111","LRD"
"112","SHV"
"113","TLH"
"114","CAE"
"115","AEX"
"116","ATL"
"117","DFW"
"118","BGR"
"119","AVL"
"120","BOS"
"121","MSN"
"122","HSV"
"123","MGM"
"124","MYR"
"125","VPS"
"126","CLL"
"127","PNS"
"128","MTJ"
"129","DAB"
"130","PSP"
"131","ASE"
"132","ATW"
"133","AVP"
"134","BMI"
"135","CAK"
"136","CID"
"137","CLD"
"138","COD"
"139","CPR"
"140","CWA"
"141","DRO"
"142","EGE"
"143","FLG"
"144","FSD"
"145","FWA"
"146","GJT"
"147","GRB"
"148","HDN"
"149","HNL"
"150","ILM"
"151","ITO"
"152","JFK"
"153","KOA"
"154","LAN"
"155","LIH"
"156","MBS"
"157","MDT"
"158","MFR"
"159","OGG"
"160","RAP"
"161","ROA"
"162","SBA"
"163","SBN"
"164","SBP"
"165","SPI"
"166","TEX"
"167","YUM"
"168","TVC"
"169","HPN"
"170","MIA"
"171","MLB"
"172","SGF"
"173","TRI"
"174","ACY"
"175","TWF"
"176","SUN"
"177","PIH"
"178","EKO"
"179","SGU"
"180","PSC"
"181","BTM"
"182","SLE"
"183","IDA"
"184","HLN"
"185","FCA"
"186","MSO"
"187","GTF"
"188","LWS"
"189","YKM"
"190","BZN"
"191","BIL"
"192","RDM"
"193","FAR"
"194","JAC"
"195","IYK"
"196","SMX"
"197","ACV"
"198","OXR"
"199","RDD"
"200","CEC"
"201","MOD"
"202","CIC"
"203","IPL"
"204","PIA"
"205","MLI"
"206","GUC"
"207","AZO"
"208","LNK"
"209","PMD"
"210","BIS"
"211","RFD"
"212","BLI"
"213","CDC"
"214","SJU"
"215","STT"
"216","ANC"
"217","STX"
"218","PHF"
"219","DHN"
"220","PFN"
"221","TOL"
"222","AGS"
"223","FAY"
"224","HHH"
"225","EVV"
"226","GNV"
"227","ABY"
"228","FNT"
"229","OAJ"
"230","BQK"
"231","SWF"
"232","EWN"
"233","MEI"
"234","GTR"
"235","LYH"
"236","FSM"
"237","EYW"
"238","VLD"
"239","CSG"
"240","MCN"
"241","CHO"
"242","TUP"
"243","FLO"
"244","SCE"
"245","TYR"
"246","LAW"
"247","SPS"
"248","ABI"
"249","GGG"
"250","ACT"
"251","SJT"
"252","TXK"
"253","CMI"
"254","ROW"
"255","RST"
"256","MQT"
"257","LSE"
"258","DBQ"
"259","GFK"
"260","MOT"
"261","DLH"
"262","SUX"
"263","PLN"
"264","BGM"
"265","ERI"
"266","ALO"
"267","CMX"
"268","RHI"
"269","ELM"
"270","JNU"
"271","KTN"
"272","ADQ"
"273","FAI"
"274","SIT"
"275","PSG"
"276","WRG"
"277","SCC"
"278","BET"
"279","CDV"
"280","OME"
"281","YAK"
"282","BRW"
"283","OTZ"
"284","ADK"
"285","BQN"
"286","PSE"
"287","GCC"
"288","RKS"
"289","MKG"
"290","DLG"
"291","AKN"
"292","LWB"
"293","ACK"
"294","WYS"
"295","BJI"
"296","INL"
"297","GST"
"298","PUB"
"299","LMT"
"300","OTH"
"301","ITH"
"302","HTS"
"303","PIR"
"304","OGD"
"305","CYS"